id,fecha,day,month,year,region,titulo,subtitular,cant_notas,politica,roja,deporte,accidente,comunitaria,nacionales,internacional,modelo_portada,especial,publicidad,contraportada,modelo,palabras_titulo,palabras_st,envio_total,cobrable,devuelto,vendido
032922nacional,29/03/2022,Tuesday,March,2022,nacional,caos en el transporte,quieren aumento y hay pocas unidades para movilizarse,3,0,0,0,0,0,3,0,0,0,1,deporte,1,4,8,97357,94918,11277,83641
033022nacional,30/03/2022,Wednesday,March,2022,nacional,la matan al azar,marero confeso que debia cumplir crimen y su victima fue una empleada bancaria,4,0,1,0,0,0,2,1,0,0,0,internacional,1,4,13,97240,94694,5391,89303
033122nacional,31/03/2022,Thursday,March,2022,nacional,operativo contra mareros salvadorenos,fuerzas de seguridad de guatemala vigilan la frontera,3,0,0,0,0,0,2,1,0,0,0,internacional,1,4,8,98238,95689,1565,94124
040122nacional,01/04/2022,Friday,April,2022,nacional,combate a mareros en la frontera,persecucion ha empujado a los pandilleros de barrio 18 a huir a guatemala,3,0,1,0,0,0,0,2,0,0,0,deporte,1,6,13,97341,92862,19683,73179
040222nacional,02/04/2022,Saturday,April,2022,nacional,lobos del aire,drones de la policia han contribuido a la captura de criminales,3,0,1,0,0,0,2,0,0,0,1,internacional,1,3,11,97118,95199,6110,89089
040322nacional,03/04/2022,Sunday,April,2022,nacional,piden perdon de rodillas,pobladores de santa cruz del quiche azotan a involucrados en desaparicion de joven,3,0,0,0,1,1,1,0,0,0,0,modelo,1,4,13,98441,96586,6773,89813
040422nacional,04/04/2022,Monday,April,2022,nacional,caos en la autopista,recorridos en carreteras son de horas en los dias previos a la semana santa,3,0,1,1,0,0,1,0,0,0,0,publicidad externa,1,4,14,103268,100852,7815,93037
040522nacional,05/04/2022,Tuesday,April,2022,nacional,al servicio del crimen,taxistas sin autorizacion son denunciados por asaltos y otros por transportar armas droga y hasta cadaveres,3,0,1,0,0,0,2,0,0,0,0,deporte,1,4,16,97577,95135,7603,87532
040622nacional,06/04/2022,Wednesday,April,2022,nacional,capturado se escondia en el pais,lider de la mara 18 escapo de el salvador para refugiarse en la zona 5,3,0,0,0,0,2,0,1,0,0,0,internacional,1,6,15,95835,93276,11103,82173
040722nacional,07/04/2022,Thursday,April,2022,nacional,te pido que cuides a mis hijos,muere segundo bombero forestal que quedo atrapado en incendio,4,0,0,0,0,2,1,1,0,0,0,deporte,1,7,9,97714,95311,6508,88803
040822nacional,08/04/2022,Friday,April,2022,nacional,duerme con los muertos,capturan por segunda vez a enrique paredes por profanar tumbas en el cementerio de chicacao suchitepequez,3,0,1,0,0,0,2,0,0,0,0,internacional,1,4,16,96818,92394,5532,86862
